traffic,station,access,time,distance,age,story,floor,layout,area,price
箱根登山鉄道,強羅駅,徒歩,19,1520,29,9,1,2LDK,76.68,90000
JR東海道本線,小田原駅,バス,36,14400,35,3,2,2LDK,65.73,90000
JR東海道本線,湯河原駅,徒歩,5,400,34,3,3,2LDK,63.99,90000
箱根登山鉄道,箱根湯本駅,徒歩,6,480,13,4,3,2LDK,56.1,82000
JR東海道本線,湯河原駅,徒歩,10,800,26,3,2,3LDK,74.47,80000
箱根登山鉄道,強羅駅,徒歩,69,5520,22,2,1,3DK,60.44,80000
箱根登山鉄道,強羅駅,バス,14,5600,2,2,2,2LDK,55.06,79000
JR東海道本線,湯河原駅,バス,7,2800,31,3,3,3LDK,64.05,75000
JR伊東線,宇佐美駅,徒歩,4,320,26,3,2,2SLDK,60.11,75000
JR伊東線,宇佐美駅,徒歩,5,400,11,2,2,2LDK,57.37,67000
JR伊東線,伊東駅,徒歩,25,2000,13,2,2,2LDK,56.19,67000
JR東海道本線,湯河原駅,徒歩,10,800,12,2,2,1K,33.72,66500
JR東海道本線,湯河原駅,徒歩,17,1360,28,2,1,3DK,60,65000
伊豆急行,川奈駅,徒歩,3,240,25,3,3,3DK,59.4,65000
JR東海道本線,真鶴駅,徒歩,8,640,31,1,1,3K,52.88,65000
JR東海道本線,熱海駅,徒歩,23,1840,33,5,3,2SDK,50,65000
JR東海道本線,湯河原駅,徒歩,3,240,23,2,2,2DK,42,65000
JR伊東線,来宮駅,徒歩,8,640,48,3,2,1DK,35,65000
箱根登山鉄道,強羅駅,バス,14,5600,14,2,1,2LDK,52.74,64000
JR東海道本線,湯河原駅,徒歩,8,640,21,2,2,2DK,39.74,63500
箱根登山鉄道,箱根湯本駅,バス,30,12000,31,3,3,2LDK,48.6,63000
箱根登山鉄道,箱根湯本駅,バス,28,11200,31,3,3,2LDK,48.6,63000
JR東海道本線,湯河原駅,徒歩,5,400,31,3,3,3K,47.37,63000
JR東海道本線,湯河原駅,徒歩,5,400,31,3,2,3K,47.37,63000
東海バス,大室高塚,徒歩,10,800,39,1,1,3DK,63.38,62000
伊豆急行,川奈駅,徒歩,21,1680,30,2,2,3DK,53.65,62000
JR伊東線,宇佐美駅,徒歩,8,640,29,3,2,2LDK,55,61000
箱根登山鉄道,強羅駅,バス,14,5600,2,2,1,1LDK,40.99,61000
箱根登山鉄道,強羅駅,バス,14,5600,2,2,1,1LDK,40.99,61000
伊豆急行,伊東駅,徒歩,12,960,47,6,5,2LDK,62.52,60000
伊豆急行,川奈駅,徒歩,21,1680,29,2,2,3DK,57.13,60000
伊豆急行,川奈駅,徒歩,34,2720,26,2,2,3DK,55.41,60000
JR東海道本線,真鶴駅,徒歩,5,400,34,2,1,3LDK,54.24,60000
箱根登山鉄道,入生田駅,徒歩,9,720,41,4,3,3DK,54.09,60000
伊豆急行,川奈駅,徒歩,26,2080,26,2,2,3DK,53.48,60000
伊豆急行,川奈駅,徒歩,12,960,29,2,2,3DK,52.99,60000
JR伊東線,宇佐美駅,徒歩,8,640,32,2,1,3DK,52.99,60000
JR伊東線,宇佐美駅,徒歩,7,560,30,3,3,2DK,50.28,60000
JR伊東線,宇佐美駅,徒歩,13,1040,5,2,2,2LDK,45.82,59800
伊豆急行,川奈駅,徒歩,28,2240,28,2,2,3DK,53.39,59000
JR東海道本線,湯河原駅,徒歩,5,400,29,2,2,3DK,52.8,59000
伊豆急行,城ヶ崎海岸駅,徒歩,6,480,18,2,1,2LDK,49.85,59000
伊豆急行,城ヶ崎海岸駅,徒歩,4,320,18,2,1,2LDK,49.85,59000
伊豆急行,城ヶ崎海岸駅,徒歩,4,320,18,2,1,2LDK,49.85,59000
箱根登山鉄道,強羅駅,バス,17,6800,9,2,1,2DK,45.89,59000
箱根登山鉄道,強羅駅,バス,17,6800,9,2,1,2DK,45.89,59000
伊豆急行,城ヶ崎海岸駅,徒歩,18,1440,10,2,1,1LDK,45.7,59000
JR伊東線,網代駅,バス,5,2000,22,2,2,2LDK,50.5,58000
伊豆急行,南伊東駅,徒歩,5,400,18,2,2,2DK,47.77,58000
伊豆急行,南伊東駅,徒歩,4,320,18,2,2,2DK,47.77,58000
箱根登山鉄道,強羅駅,バス,30,12000,11,2,1,1LDK,44.55,58000
JR東海道本線,湯河原駅,徒歩,17,1360,31,3,3,2DK,39.66,58000
箱根登山鉄道,入生田駅,徒歩,9,720,12,2,1,1LDK,37.13,58000
箱根登山鉄道,入生田駅,徒歩,9,720,12,2,1,1LDK,37.13,58000
箱根登山鉄道,彫刻の森駅,バス,20,8000,13,2,2,1K,33.34,58000
JR東海道本線,湯河原駅,徒歩,7,560,44,3,1,3DK,50,57000
JR東海道本線,湯河原駅,徒歩,5,400,30,2,2,3DK,46,57000
伊豆急行,南伊東駅,徒歩,4,320,9,2,1,1LDK,45.55,57000
JR東海道本線,湯河原駅,徒歩,6,480,24,3,3,1LDK,37.42,57000
箱根登山鉄道,彫刻の森駅,バス,20,8000,13,2,1,1LDK,36.79,57000
箱根登山鉄道,強羅駅,バス,20,8000,12,2,1,1LDK,40.39,56000
伊豆急行,川奈駅,徒歩,14,1120,13,2,2,2DK,40.33,56000
JR東海道本線,湯河原駅,バス,10,4000,31,2,1,3DK,56.48,55000
伊豆急行,富戸駅,徒歩,4,320,31,3,3,3DK,55.89,55000
伊豆急行,伊豆高原駅,徒歩,11,880,21,2,2,2DK,51.03,55000
伊豆急行,川奈駅,徒歩,23,1840,29,2,2,3DK,50.3,55000
JR伊東線,網代駅,バス,6,2400,30,2,2,3DK,50,55000
伊豆急行,伊東駅,徒歩,26,2080,28,2,1,2DK,48.82,55000
JR東海道本線,真鶴駅,徒歩,10,800,34,2,1,3DK,47.54,55000
JR東海道本線,真鶴駅,徒歩,10,800,34,2,2,3DK,47.54,55000
JR東海道本線,真鶴駅,徒歩,10,800,34,2,1,3DK,47.54,55000
伊豆急行,南伊東駅,徒歩,36,2880,28,3,2,2DK,46.76,55000
JR東海道本線,湯河原駅,車,8,3200,50,1,1,2DK,46.45,55000
伊豆急行,川奈駅,徒歩,31,2480,21,2,2,1LDK,46.37,55000
伊豆急行,南伊東駅,徒歩,36,2880,28,3,2,2DK,45.73,55000
伊豆急行,川奈駅,徒歩,20,1600,26,2,2,2DK,45.54,55000
JR伊東線,伊東駅,徒歩,11,880,32,4,4,2DK,45.36,55000
JR伊東線,伊豆多賀駅,徒歩,10,800,29,2,2,3DK,45,55000
箱根登山鉄道,強羅駅,バス,20,8000,11,2,1,1LDK,44.62,55000
JR伊東線,伊東駅,徒歩,12,960,33,4,2,2DK,44.3,55000
JR伊東線,伊東駅,徒歩,12,960,33,4,4,2DK,44.3,55000
JR伊東線,伊東駅,徒歩,12,960,33,4,1,2DK,44.3,55000
JR伊東線,伊東駅,徒歩,12,960,33,4,3,2DK,44.3,55000
JR東海道本線,湯河原駅,徒歩,9,720,20,2,1,3K,44.28,55000
伊豆急行,川奈駅,徒歩,5,400,10,2,2,2DK,43.47,55000
JR伊東線,伊東駅,徒歩,12,960,33,4,3,2DK,42.44,55000
伊豆急行,南伊東駅,徒歩,31,2480,29,3,2,2K,42,55000
伊豆急行,南伊東駅,徒歩,31,2480,29,3,2,2K,42,55000
